Serial Number:20697595 --

"Date Time, GMT -1000","Temp, (*F)","mV","pH","Button Down","Button Up","Host Connect","Start Calibration","Calibration Values","Calibration Buffers","End Calibration","EOF"
2019-10-25 17:20:00,81.53,-72.55,8.05, , , , , , , , 
2019-10-25 17:30:00,81.53,-72.55,8.05, , , , , , , , 
2019-10-25 17:40:00,81.49,-72.53,8.05, , , , , , , , 
2019-10-25 17:50:00,81.44,-72.53,8.05, , , , , , , , 
2019-10-25 18:00:00,81.44,-72.52,8.05, , , , , , , , 
2019-10-25 18:10:00,81.40,-72.50,8.05, , , , , , , , 
2019-10-25 18:20:00,81.36,-72.49,8.05, , , , , , , , 
2019-10-25 18:30:00,81.31,-72.50,8.05, , , , , , , , 
2019-10-25 18:40:00,81.27,-72.46,8.05, , , , , , , , 
2019-10-25 18:50:00,81.22,-72.46,8.05, , , , , , , , 
2019-10-25 19:00:00,81.18,-72.42,8.05, , , , , , , , 
2019-10-25 19:10:00,81.13,-72.42,8.05, , , , , , , , 
2019-10-25 19:20:00,81.09,-72.39,8.05, , , , , , , , 
2019-10-25 19:30:00,81.05,-72.39,8.05, , , , , , , , 
2019-10-25 19:40:00,80.96,-72.38,8.05, , , , , , , , 
2019-10-25 19:50:00,80.91,-72.36,8.05, , , , , , , , 
2019-10-25 20:00:00,80.82,-72.36,8.05, , , , , , , , 
2019-10-25 20:10:00,80.82,-72.38,8.05, , , , , , , , 
2019-10-25 20:20:00,81.00,-72.35,8.05, , , , , , , , 
2019-10-25 20:30:00,81.13,-72.36,8.05, , , , , , , , 
2019-10-25 20:40:00,81.31,-72.46,8.05, , , , , , , , 
2019-10-25 20:50:00,81.31,-72.38,8.05, , , , , , , , 
2019-10-25 21:00:00,81.27,-72.38,8.05, , , , , , , , 
2019-10-25 21:10:00,81.18,-72.30,8.05, , , , , , , , 
2019-10-25 21:20:00,81.09,-72.28,8.05, , , , , , , , 
2019-10-25 21:30:00,81.00,-72.27,8.05, , , , , , , , 
2019-10-25 21:40:00,80.91,-72.24,8.05, , , , , , , , 
2019-10-25 21:50:00,80.82,-72.24,8.05, , , , , , , , 
2019-10-25 22:00:00,80.91,-72.24,8.05, , , , , , , , 
2019-10-25 22:10:00,81.00,-72.25,8.05, , , , , , , , 
2019-10-25 22:20:00,81.13,-72.25,8.05, , , , , , , , 
2019-10-25 22:30:00,81.31,-72.25,8.05, , , , , , , , 
2019-10-25 22:40:00,81.27,-72.24,8.05, , , , , , , , 
2019-10-25 22:50:00,81.13,-72.22,8.04, , , , , , , , 
2019-10-25 23:00:00,81.05,-72.17,8.04, , , , , , , , 
2019-10-25 23:10:00,80.91,-72.16,8.04, , , , , , , , 
2019-10-25 23:20:00,80.82,-72.16,8.04, , , , , , , , 
2019-10-25 23:30:00,80.91,-72.13,8.04, , , , , , , , 
2019-10-25 23:40:00,81.00,-72.13,8.04, , , , , , , , 
2019-10-25 23:50:00,81.09,-72.16,8.04, , , , , , , , 
2019-10-26 00:00:00,81.27,-72.17,8.04, , , , , , , , 
2019-10-26 00:10:00,81.27,-72.17,8.04, , , , , , , , 
2019-10-26 00:20:00,81.18,-72.13,8.04, , , , , , , , 
2019-10-26 00:30:00,81.05,-72.11,8.04, , , , , , , , 
2019-10-26 00:40:00,80.91,-72.05,8.04, , , , , , , , 
2019-10-26 00:50:00,80.82,-72.03,8.04, , , , , , , , 
2019-10-26 01:00:00,80.87,-72.05,8.04, , , , , , , , 
2019-10-26 01:10:00,81.00,-72.03,8.04, , , , , , , , 
2019-10-26 01:20:00,81.09,-72.06,8.04, , , , , , , , 
2019-10-26 01:30:00,81.22,-72.08,8.04, , , , , , , , 
2019-10-26 01:40:00,81.27,-72.11,8.04, , , , , , , , 
2019-10-26 01:50:00,81.18,-72.06,8.04, , , , , , , , 
2019-10-26 02:00:00,81.05,-72.02,8.04, , , , , , , , 
2019-10-26 02:10:00,80.87,-71.97,8.04, , , , , , , , 
2019-10-26 02:20:00,80.82,-71.99,8.04, , , , , , , , 
2019-10-26 02:30:00,80.96,-71.96,8.04, , , , , , , , 
2019-10-26 02:40:00,81.00,-71.97,8.04, , , , , , , , 
2019-10-26 02:50:00,81.09,-71.99,8.04, , , , , , , , 
2019-10-26 03:00:00,81.22,-71.99,8.04, , , , , , , , 
2019-10-26 03:10:00,81.31,-71.97,8.04, , , , , , , , 
2019-10-26 03:20:00,81.27,-71.99,8.04, , , , , , , , 
2019-10-26 03:30:00,81.09,-71.94,8.04, , , , , , , , 
2019-10-26 03:40:00,81.00,-71.88,8.04, , , , , , , , 
2019-10-26 03:50:00,80.87,-71.86,8.04, , , , , , , , 
2019-10-26 04:00:00,80.82,-71.85,8.04, , , , , , , , 
2019-10-26 04:10:00,80.82,-71.85,8.04, , , , , , , , 
2019-10-26 04:20:00,81.05,-71.89,8.04, , , , , , , , 
2019-10-26 04:30:00,81.13,-71.88,8.04, , , , , , , , 
2019-10-26 04:40:00,81.22,-71.89,8.04, , , , , , , , 
2019-10-26 04:50:00,81.27,-71.88,8.04, , , , , , , , 
2019-10-26 05:00:00,81.18,-71.86,8.04, , , , , , , , 
2019-10-26 05:10:00,81.00,-71.81,8.04, , , , , , , , 
2019-10-26 05:20:00,80.87,-71.81,8.04, , , , , , , , 
2019-10-26 05:30:00,80.78,-71.75,8.04, , , , , , , , 
2019-10-26 05:40:00,80.87,-71.78,8.04, , , , , , , , 
2019-10-26 05:50:00,80.96,-71.78,8.04, , , , , , , , 
2019-10-26 06:00:00,81.13,-71.78,8.04, , , , , , , , 
2019-10-26 06:10:00,81.18,-71.77,8.04, , , , , , , , 
2019-10-26 06:20:00,81.31,-71.81,8.04, , , , , , , , 
2019-10-26 06:30:00,81.27,-71.78,8.04, , , , , , , , 
2019-10-26 06:40:00,81.13,-71.75,8.04, , , , , , , , 
2019-10-26 06:50:00,81.05,-71.74,8.04, , , , , , , , 
2019-10-26 07:00:00,80.96,-71.74,8.04, , , , , , , , 
2019-10-26 07:10:00,80.87,-71.71,8.04, , , , , , , , 
2019-10-26 07:20:00,80.82,-71.67,8.04, , , , , , , , 
2019-10-26 07:30:00,81.05,-71.71,8.04, , , , , , , , 
2019-10-26 07:40:00,81.13,-71.75,8.04, , , , , , , , 
2019-10-26 07:50:00,81.31,-71.77,8.04, , , , , , , , 
2019-10-26 08:00:00,81.31,-71.74,8.04, , , , , , , , 
2019-10-26 08:10:00,81.27,-71.74,8.04, , , , , , , , 
2019-10-26 08:20:00,81.27,-71.75,8.04, , , , , , , , 
2019-10-26 08:30:00,81.27,-71.72,8.04, , , , , , , , 
2019-10-26 08:40:00,81.27,-71.72,8.04, , , , , , , , 
2019-10-26 08:50:00,81.31,-71.72,8.04, , , , , , , , 
2019-10-26 09:00:00,81.31,-71.71,8.04, , , , , , , , 
2019-10-26 09:10:00,81.31,-71.72,8.04, , , , , , , , 
2019-10-26 09:20:00,81.31,-71.72,8.04, , , , , , , , 
2019-10-26 09:30:00,81.36,-71.72,8.04, , , , , , , , 
2019-10-26 09:40:00,81.36,-71.74,8.04, , , , , , , , 
2019-10-26 09:50:00,81.36,-71.72,8.04, , , , , , , , 
2019-10-26 10:00:00,81.36,-71.72,8.04, , , , , , , , 
2019-10-26 10:10:00,81.36,-71.71,8.04, , , , , , , , 
2019-10-26 10:20:00,81.36,-71.71,8.04, , , , , , , , 
2019-10-26 10:30:00,81.36,-71.74,8.04, , , , , , , , 
2019-10-26 10:40:00,81.36,-71.69,8.04, , , , , , , , 
2019-10-26 10:50:00,81.36,-71.69,8.04, , , , , , , , 
2019-10-26 11:00:00,81.36,-71.71,8.04, , , , , , , , 
2019-10-26 11:10:00,81.36,-71.71,8.04, , , , , , , , 
2019-10-26 11:20:00,81.40,-71.72,8.04, , , , , , , , 
2019-10-26 11:30:00,81.44,-71.71,8.04, , , , , , , , 
2019-10-26 11:40:00,81.49,-71.74,8.04, , , , , , , , 
2019-10-26 11:50:00,81.53,-71.72,8.04, , , , , , , , 
2019-10-26 12:00:00,81.53,-71.72,8.04, , , , , , , , 
2019-10-26 12:10:00,81.58,-71.72,8.04, , , , , , , , 
2019-10-26 12:20:00,81.62,-71.75,8.04, , , , , , , , 
2019-10-26 12:30:00,81.62,-71.74,8.04, , , , , , , , 
2019-10-26 12:40:00,81.62,-71.71,8.04, , , , , , , , 
2019-10-26 12:50:00,81.62,-71.78,8.04, , , , , , , , 
2019-10-26 13:00:00,81.58,-71.72,8.04, , , , , , , , 
2019-10-26 13:10:00,81.58,-71.71,8.04, , , , , , , , 
2019-10-26 13:20:00,81.53,-71.69,8.04, , , , , , , , 
2019-10-26 13:27:33, , , ,Logged,Logged, , , , , , 
2019-10-26 13:27:49, , , , , ,Logged, , , , , 
2019-10-26 13:28:12, , , ,Logged,Logged, , , , , , 
2019-10-26 13:30:00,81.58,-71.71,8.04, , , , , , , , 
2019-10-26 13:40:00,84.57,-77.41,8.13, , , , , , , , 
2019-10-26 13:50:00,85.15,-77.63,8.13, , , , , , , , 
2019-10-26 14:00:00,85.24,-77.58,8.13, , , , , , , , 
2019-10-26 14:10:00,85.15,-77.52,8.13, , , , , , , , 
2019-10-26 14:20:00,84.97,-77.49,8.13, , , , , , , , 
2019-10-26 14:30:00,84.84,-77.44,8.13, , , , , , , , 
2019-10-26 14:40:00,84.70,-77.42,8.13, , , , , , , , 
2019-10-26 14:50:00,84.52,-77.39,8.12, , , , , , , , 
2019-10-26 15:00:00,84.43,-77.38,8.12, , , , , , , , 
2019-10-26 15:10:00,84.34,-77.35,8.12, , , , , , , , 
2019-10-26 15:20:00,84.30,-77.35,8.12, , , , , , , , 
2019-10-26 15:30:00,84.25,-77.24,8.12, , , , , , , , 
2019-10-26 15:40:00,84.16,-77.19,8.12, , , , , , , , 
2019-10-26 15:50:00,84.16,-77.17,8.12, , , , , , , , 
2019-10-26 16:00:00,84.21,-77.17,8.12, , , , , , , , 
2019-10-26 16:10:00,84.39,-77.17,8.12, , , , , , , , 
2019-10-26 16:20:00,84.57,-77.13,8.12, , , , , , , , 
2019-10-26 16:30:00,84.61,-76.91,8.12, , , , , , , , 
2019-10-26 16:40:00,84.52,-76.85,8.12, , , , , , , , 
2019-10-26 16:50:00,84.34,-76.83,8.12, , , , , , , , 
2019-10-26 17:00:00,84.12,-76.83,8.12, , , , , , , , 
2019-10-26 17:10:00,83.98,-76.80,8.12, , , , , , , , 
2019-10-26 17:20:00,83.80,-76.78,8.12, , , , , , , , 
2019-10-26 17:30:00,83.62,-76.77,8.12, , , , , , , , 
2019-10-26 17:40:00,83.45,-76.75,8.12, , , , , , , , 
2019-10-26 17:50:00,83.31,-76.74,8.12, , , , , , , , 
2019-10-26 18:00:00,83.13,-76.74,8.12, , , , , , , , 
2019-10-26 18:10:00,83.04,-76.72,8.12, , , , , , , , 
2019-10-26 18:20:00,82.91,-76.74,8.12, , , , , , , , 
2019-10-26 18:30:00,82.78,-76.72,8.12, , , , , , , , 
2019-10-26 18:40:00,82.69,-76.72,8.12, , , , , , , , 
2019-10-26 18:50:00,82.60,-76.74,8.12, , , , , , , , 
2019-10-26 19:00:00,82.51,-76.74,8.12, , , , , , , , 
2019-10-26 19:10:00,82.42,-76.72,8.12, , , , , , , , 
2019-10-26 19:20:00,82.38,-76.74,8.12, , , , , , , , 
2019-10-26 19:30:00,82.29,-76.74,8.12, , , , , , , , 
2019-10-26 19:40:00,82.24,-76.74,8.12, , , , , , , , 
2019-10-26 19:50:00,82.15,-76.77,8.12, , , , , , , , 
2019-10-26 20:00:00,81.80,-76.78,8.12, , , , , , , , 
2019-10-26 20:10:00,81.58,-76.94,8.12, , , , , , , , 
2019-10-26 20:20:00,81.49,-77.05,8.13, , , , , , , , 
2019-10-26 20:30:00,81.36,-77.02,8.13, , , , , , , , 
2019-10-26 20:40:00,81.27,-77.00,8.13, , , , , , , , 
2019-10-26 20:50:00,81.05,-76.99,8.13, , , , , , , , 
2019-10-26 21:00:00,80.91,-76.97,8.13, , , , , , , , 
2019-10-26 21:10:00,80.82,-76.97,8.13, , , , , , , , 
2019-10-26 21:20:00,80.74,-76.99,8.13, , , , , , , , 
2019-10-26 21:30:00,80.65,-76.97,8.13, , , , , , , , 
2019-10-26 21:40:00,80.56,-76.97,8.13, , , , , , , , 
2019-10-26 21:50:00,80.47,-76.99,8.13, , , , , , , , 
2019-10-26 22:00:00,80.38,-76.99,8.13, , , , , , , , 
2019-10-26 22:10:00,80.29,-76.99,8.13, , , , , , , , 
2019-10-26 22:20:00,80.25,-76.99,8.13, , , , , , , , 
2019-10-26 22:30:00,80.21,-76.99,8.13, , , , , , , , 
2019-10-26 22:40:00,80.16,-76.99,8.13, , , , , , , , 
2019-10-26 22:50:00,80.12,-77.00,8.13, , , , , , , , 
2019-10-26 23:00:00,80.07,-76.99,8.13, , , , , , , , 
2019-10-26 23:10:00,80.03,-76.99,8.13, , , , , , , , 
2019-10-26 23:20:00,80.03,-77.00,8.13, , , , , , , , 
2019-10-26 23:30:00,79.99,-77.00,8.13, , , , , , , , 
2019-10-26 23:40:00,79.90,-77.00,8.13, , , , , , , , 
2019-10-26 23:50:00,79.85,-76.99,8.13, , , , , , , , 
2019-10-27 00:00:00,79.55,-76.71,8.12, , , , , , , , 
2019-10-27 00:10:00,79.41,-76.49,8.12, , , , , , , , 
2019-10-27 00:20:00,79.46,-76.53,8.12, , , , , , , , 
2019-10-27 00:30:00,79.50,-76.56,8.12, , , , , , , , 
2019-10-27 00:40:00,79.46,-76.56,8.12, , , , , , , , 
2019-10-27 00:50:00,79.41,-76.56,8.12, , , , , , , , 
2019-10-27 01:00:00,79.41,-76.55,8.12, , , , , , , , 
2019-10-27 01:10:00,79.37,-76.55,8.12, , , , , , , , 
2019-10-27 01:20:00,79.28,-76.55,8.12, , , , , , , , 
2019-10-27 01:30:00,79.24,-76.55,8.12, , , , , , , , 
2019-10-27 01:40:00,79.19,-76.55,8.12, , , , , , , , 
2019-10-27 01:50:00,79.15,-76.56,8.12, , , , , , , , 
2019-10-27 02:00:00,79.11,-76.56,8.12, , , , , , , , 
2019-10-27 02:10:00,79.02,-76.56,8.12, , , , , , , , 
2019-10-27 02:20:00,78.98,-76.56,8.12, , , , , , , , 
2019-10-27 02:30:00,78.89,-76.56,8.12, , , , , , , , 
2019-10-27 02:40:00,78.89,-76.58,8.12, , , , , , , , 
2019-10-27 02:50:00,78.84,-76.58,8.12, , , , , , , , 
2019-10-27 03:00:00,78.80,-76.60,8.12, , , , , , , , 
2019-10-27 03:10:00,78.80,-76.60,8.12, , , , , , , , 
2019-10-27 03:20:00,78.76,-76.60,8.12, , , , , , , , 
2019-10-27 03:30:00,78.71,-76.60,8.12, , , , , , , , 
2019-10-27 03:40:00,78.67,-76.60,8.12, , , , , , , , 
2019-10-27 03:50:00,78.58,-76.60,8.12, , , , , , , , 
2019-10-27 04:00:00,78.36,-76.49,8.12, , , , , , , , 
2019-10-27 04:10:00,78.19,-76.39,8.12, , , , , , , , 
2019-10-27 04:20:00,78.32,-76.49,8.12, , , , , , , , 
2019-10-27 04:30:00,78.41,-76.55,8.12, , , , , , , , 
2019-10-27 04:40:00,78.45,-76.56,8.12, , , , , , , , 
2019-10-27 04:50:00,78.45,-76.58,8.12, , , , , , , , 
2019-10-27 05:00:00,78.41,-76.58,8.12, , , , , , , , 
2019-10-27 05:10:00,78.41,-76.60,8.12, , , , , , , , 
2019-10-27 05:20:00,78.36,-76.60,8.12, , , , , , , , 
2019-10-27 05:30:00,78.32,-76.60,8.12, , , , , , , , 
2019-10-27 05:40:00,78.27,-76.61,8.12, , , , , , , , 
2019-10-27 05:50:00,78.27,-76.61,8.12, , , , , , , , 
2019-10-27 06:00:00,78.23,-76.61,8.12, , , , , , , , 
2019-10-27 06:10:00,78.23,-76.61,8.12, , , , , , , , 
2019-10-27 06:20:00,78.36,-76.66,8.13, , , , , , , , 
2019-10-27 06:30:00,78.67,-76.71,8.13, , , , , , , , 
2019-10-27 06:40:00,79.06,-76.77,8.13, , , , , , , , 
2019-10-27 06:50:00,79.50,-76.86,8.13, , , , , , , , 
2019-10-27 07:00:00,79.90,-76.91,8.13, , , , , , , , 
2019-10-27 07:10:00,80.29,-76.96,8.13, , , , , , , , 
2019-10-27 07:20:00,80.74,-76.97,8.13, , , , , , , , 
2019-10-27 07:30:00,81.05,-76.97,8.13, , , , , , , , 
2019-10-27 07:40:00,81.18,-76.96,8.12, , , , , , , , 
2019-10-27 07:50:00,81.13,-76.94,8.12, , , , , , , , 
2019-10-27 08:00:00,81.40,-76.92,8.12, , , , , , , , 
2019-10-27 08:10:00,81.62,-76.97,8.12, , , , , , , , 
2019-10-27 08:20:00,82.11,-77.06,8.12, , , , , , , , 
2019-10-27 08:30:00,82.46,-77.14,8.13, , , , , , , , 
2019-10-27 08:40:00,82.82,-77.16,8.12, , , , , , , , 
2019-10-27 08:50:00,83.36,-77.14,8.12, , , , , , , , 
2019-10-27 09:00:00,83.85,-77.13,8.12, , , , , , , , 
2019-10-27 09:10:00,84.16,-77.11,8.12, , , , , , , , 
2019-10-27 09:20:00,84.66,-77.08,8.12, , , , , , , , 
2019-10-27 09:30:00,84.88,-77.03,8.12, , , , , , , , 
2019-10-27 09:40:00,84.93,-77.00,8.12, , , , , , , , 
2019-10-27 09:50:00,85.02,-76.96,8.12, , , , , , , , 
2019-10-27 10:00:00,84.97,-76.91,8.12, , , , , , , , 
2019-10-27 10:10:00,85.02,-76.89,8.12, , , , , , , , 
2019-10-27 10:20:00,84.79,-76.86,8.12, , , , , , , , 
2019-10-27 10:30:00,84.66,-76.83,8.12, , , , , , , , 
2019-10-27 10:40:00,84.61,-76.81,8.12, , , , , , , , 
2019-10-27 10:50:00,84.57,-76.81,8.12, , , , , , , , 
2019-10-27 11:00:00,84.88,-76.78,8.11, , , , , , , , 
2019-10-27 11:10:00,84.97,-76.78,8.11, , , , , , , , 
2019-10-27 11:20:00,84.97,-76.77,8.11, , , , , , , , 
2019-10-27 11:30:00,84.97,-76.75,8.11, , , , , , , , 
2019-10-27 11:40:00,84.88,-76.75,8.11, , , , , , , , 
2019-10-27 11:50:00,85.06,-76.71,8.11, , , , , , , , 
2019-10-27 12:00:00,85.11,-76.71,8.11, , , , , , , , 
2019-10-27 12:10:00,85.24,-76.75,8.11, , , , , , , , 
2019-10-27 12:20:00,85.38,-76.78,8.11, , , , , , , , 
