164507	ACR_393_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9930830873049347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164480	ACR_314_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9924935374826009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164438	ACR_213_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9924328147100424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164441	ACR_220_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991924195111446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164493	ACR_363_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991664992970476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164393	ACR_139_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9915745772025155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164449	ACR_229_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9907693425882181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164392	ACR_139_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9905155751337259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164463	ACR_244_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9902788163657729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164408	ACR_173_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9892842134752766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164466	ACR_244_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9883030726256984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164473	ACR_265_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9882026779920958	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164465	ACR_244_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.988168628183573	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164434	ACR_193_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9879996470484426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164420	ACR_180_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9878284923928077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164411	ACR_173_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.987164844727253	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164484	ACR_343_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9870215990905645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164409	ACR_173_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9867631748549899	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164464	ACR_244_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9866307024744928	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164435	ACR_210_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9861151967994353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164429	ACR_187_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9861094187888388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164395	ACR_140_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9858219535855534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164414	ACR_175_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9858197585843197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164391	ACR_139_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9856930759886624	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164400	ACR_145_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9855222902097902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164488	ACR_350_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9853555288599051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164401	ACR_145_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9851877851877852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164467	ACR_246_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9850646641635378	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164445	ACR_225_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9848354945879327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164396	ACR_140_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9844401743450344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164442	ACR_220_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9841403903903905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164446	ACR_225_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9841115434500648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164443	ACR_225_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9839899855053367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164476	ACR_265_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983837174498653	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164398	ACR_140_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9836739780658026	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164475	ACR_265_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9829152596880527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164428	ACR_187_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9828738119883316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164397	ACR_140_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9821711150965292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164394	ACR_139_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9821380486491339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164497	ACR_364_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9817263936291241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164506	ACR_393_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9809452175003134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164430	ACR_190_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9809027047490851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164505	ACR_393_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9807961106046794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164496	ACR_364_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.980561555075594	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164407	ACR_165_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9803160650832242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164453	ACR_231_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9802248408506027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164500	ACR_379_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9799855098714001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164504	ACR_390_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9799846691082531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164483	ACR_343_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9798762763658045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164478	ACR_267_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9798759567168119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164399	ACR_145_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9798183103954741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164471	ACR_258_TP2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9794139619822362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164485	ACR_345_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9793717768401313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164402	ACR_145_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.979307208368074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164477	ACR_267_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9792176039119804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164462	ACR_243_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9791788172168436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164437	ACR_213_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9790499065919402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164436	ACR_210_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9779479125768877	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164444	ACR_225_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9775256539962422	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164410	ACR_173_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9773907136965698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164489	ACR_350_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9773582904713929	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164412	ACR_175_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9769003829012617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164472	ACR_258_TP2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975547125765976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164492	ACR_360_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9753901996370237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164433	ACR_190_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975111441307578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164503	ACR_390_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9745756590827014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164432	ACR_190_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9739036857680926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164498	ACR_368_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9730596862904869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164416	ACR_176_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9729076790336496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164431	ACR_190_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9713591741726546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164482	ACR_343_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9711579486304293	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164474	ACR_265_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.971022937966838	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164413	ACR_175_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9702077846063799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164495	ACR_364_TP2	0	0	0	0	0	0	0	0	0.01683384645942993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9612672559340549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164421	ACR_180_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013674167049339252	0	0	0	0	0	0	0	0.9569365783968571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164510	ACR_398_TP4	0	0.03773372381166929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9480175715251182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164415	ACR_176_TP1	0.02245015062401377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9459188064840051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164479	ACR_268_TP2	0.04581110762472545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9329777219956071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164469	ACR_256_TP1	0	0.09893467668676191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8818234371128912	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164499	ACR_368_TP4	0	0.09984540066993043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8778235849866872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164494	ACR_364_TP1	0	0.1655550024888004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8114484818317571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164450	ACR_229_TP2	0	0.19383561643835617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7815525114155252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164486	ACR_347_TP1	0	0.1630291874835656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01998422298185643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7800420720483827	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164487	ACR_347_TP2	0	0.20765807372575362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.760895121336804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164406	ACR_150_TP4	0.22722710163111667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7397741530740276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164426	ACR_186_TP3	0	0.263381652409978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7034267274496747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
